threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
interval_143_144,0.19463242431367567,62,0.6458333333333334,18,0.75,64,144,0.4444444444444444,39,0.8125,43,0.8958333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
breakpoint_144,0.20407712802921654,63,0.65625,18,0.75,65,144,0.4513888888888889,39,0.8125,43,0.8958333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
interval_144_145,0.20908845544861548,63,0.65625,18,0.75,65,144,0.4513888888888889,39,0.8125,43,0.8958333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
breakpoint_145,0.21409978286801445,63,0.65625,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,43,0.8958333333333334,0.0625,-0.0625,0.1875,6,15,3,0.53125,1,1
interval_145_146,0.21649155320515984,63,0.65625,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,43,0.8958333333333334,0.0625,-0.0625,0.1875,6,15,3,0.53125,1,1
breakpoint_146,0.2188833235423052,64,0.6666666666666666,18,0.75,66,144,0.4583333333333333,40,0.8333333333333334,43,0.8958333333333334,0.0625,-0.0625,0.1875,6,15,3,0.53125,1,1
interval_146_147,0.23290093670549922,64,0.6666666666666666,18,0.75,66,144,0.4583333333333333,40,0.8333333333333334,43,0.8958333333333334,0.0625,-0.0625,0.1875,6,15,3,0.53125,1,1
breakpoint_147,0.24691854986869324,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,43,0.8958333333333334,0.0625,-0.0625,0.1875,6,15,3,0.53125,1,1
interval_147_148,0.2600585438567702,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,43,0.8958333333333334,0.0625,-0.0625,0.1875,6,15,3,0.53125,1,1
breakpoint_148,0.2731985378448471,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,44,0.9166666666666666,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666666,1,1
interval_148_149,0.27861902723447135,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,44,0.9166666666666666,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666666,1,1
breakpoint_149,0.2840395166240956,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,45,0.9375,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_149_150,0.28645458353559206,65,0.6770833333333334,18,0.75,65,144,0.4513888888888889,40,0.8333333333333334,45,0.9375,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
