threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
breakpoint_56,-0.8202730229005136,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,13,0.2708333333333333,24,0.5,0.22916666666666666,0.10416666666666667,0.375,9,15,0,0.6145833333333334,1,1
interval_56_57,-0.8193242960476801,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,13,0.2708333333333333,24,0.5,0.22916666666666666,0.10416666666666667,0.375,9,15,0,0.6145833333333334,1,1
breakpoint_57,-0.8183755691948467,21,0.21875,16,0.6666666666666666,53,144,0.3680555555555556,13,0.2708333333333333,24,0.5,0.22916666666666666,0.10416666666666667,0.375,9,15,0,0.6145833333333334,1,1
interval_57_58,-0.8180514486546866,21,0.21875,16,0.6666666666666666,53,144,0.3680555555555556,13,0.2708333333333333,24,0.5,0.22916666666666666,0.10416666666666667,0.375,9,15,0,0.6145833333333334,1,1
breakpoint_58,-0.8177273281145265,21,0.21875,16,0.6666666666666666,53,144,0.3680555555555556,14,0.2916666666666667,24,0.5,0.20833333333333334,0.10416666666666667,0.3333333333333333,9,15,0,0.6041666666666666,1,1
interval_58_59,-0.8148678312464908,21,0.21875,16,0.6666666666666666,53,144,0.3680555555555556,14,0.2916666666666667,24,0.5,0.20833333333333334,0.10416666666666667,0.3333333333333333,9,15,0,0.6041666666666666,1,1
breakpoint_59,-0.812008334378455,22,0.22916666666666666,17,0.7083333333333334,56,144,0.3888888888888889,14,0.2916666666666667,24,0.5,0.20833333333333334,0.10416666666666667,0.3333333333333333,9,15,0,0.6041666666666666,1,1
interval_59_60,-0.8085753793867284,22,0.22916666666666666,17,0.7083333333333334,56,144,0.3888888888888889,14,0.2916666666666667,24,0.5,0.20833333333333334,0.10416666666666667,0.3333333333333333,9,15,0,0.6041666666666666,1,1
breakpoint_60,-0.8051424243950018,22,0.22916666666666666,17,0.7083333333333334,56,144,0.3888888888888889,15,0.3125,24,0.5,0.1875,0.08333333333333333,0.3125,8,16,0,0.59375,1,1
interval_60_61,-0.7984065687516044,22,0.22916666666666666,17,0.7083333333333334,56,144,0.3888888888888889,15,0.3125,24,0.5,0.1875,0.08333333333333333,0.3125,8,16,0,0.59375,1,1
breakpoint_61,-0.791670713108207,23,0.23958333333333334,17,0.7083333333333334,57,144,0.3958333333333333,15,0.3125,24,0.5,0.1875,0.08333333333333333,0.3125,8,16,0,0.59375,1,1
interval_61_62,-0.7901314420405079,23,0.23958333333333334,17,0.7083333333333334,57,144,0.3958333333333333,15,0.3125,24,0.5,0.1875,0.08333333333333333,0.3125,8,16,0,0.59375,1,1
