threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
breakpoint_57,0.13563693127750587,58,0.6041666666666666,18,0.75,70,144,0.4861111111111111,10,0.4166666666666667,12,0.5,6,0.25,8,0.3333333333333333
interval_57_58,0.15713488113939894,58,0.6041666666666666,18,0.75,70,144,0.4861111111111111,10,0.4166666666666667,12,0.5,6,0.25,8,0.3333333333333333
breakpoint_58,0.17863283100129204,59,0.6145833333333334,18,0.75,69,144,0.4791666666666667,10,0.4166666666666667,11,0.4583333333333333,7,0.2916666666666667,8,0.3333333333333333
interval_58_59,0.20755687376298598,59,0.6145833333333334,18,0.75,69,144,0.4791666666666667,10,0.4166666666666667,11,0.4583333333333333,7,0.2916666666666667,8,0.3333333333333333
breakpoint_59,0.23648091652467995,60,0.625,18,0.75,68,144,0.4722222222222222,11,0.4583333333333333,11,0.4583333333333333,7,0.2916666666666667,7,0.2916666666666667
interval_59_60,0.24024253388882272,60,0.625,18,0.75,68,144,0.4722222222222222,11,0.4583333333333333,11,0.4583333333333333,7,0.2916666666666667,7,0.2916666666666667
breakpoint_60,0.24400415125296546,61,0.6354166666666666,18,0.75,67,144,0.4652777777777778,11,0.4583333333333333,10,0.4166666666666667,8,0.3333333333333333,7,0.2916666666666667
interval_60_61,0.24734289668891613,61,0.6354166666666666,18,0.75,67,144,0.4652777777777778,11,0.4583333333333333,10,0.4166666666666667,8,0.3333333333333333,7,0.2916666666666667
breakpoint_61,0.25068164212486677,62,0.6458333333333334,18,0.75,68,144,0.4722222222222222,12,0.5,10,0.4166666666666667,8,0.3333333333333333,6,0.25
interval_61_62,0.2625256562118964,62,0.6458333333333334,18,0.75,68,144,0.4722222222222222,12,0.5,10,0.4166666666666667,8,0.3333333333333333,6,0.25
breakpoint_62,0.27436967029892606,63,0.65625,18,0.75,67,144,0.4652777777777778,12,0.5,9,0.375,9,0.375,6,0.25
interval_62_63,0.2772972359175434,63,0.65625,18,0.75,67,144,0.4652777777777778,12,0.5,9,0.375,9,0.375,6,0.25
