threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
breakpoint_49,0.07116450122169536,50,0.5208333333333334,18,0.75,62,144,0.4305555555555556,1,0.041666666666666664,11,0.4583333333333333,7,0.2916666666666667,17,0.7083333333333334
interval_49_50,0.07638109666354356,50,0.5208333333333334,18,0.75,62,144,0.4305555555555556,1,0.041666666666666664,11,0.4583333333333333,7,0.2916666666666667,17,0.7083333333333334
breakpoint_50,0.08159769210539175,51,0.53125,18,0.75,61,144,0.4236111111111111,2,0.08333333333333333,11,0.4583333333333333,7,0.2916666666666667,16,0.6666666666666666
interval_50_51,0.0817890416827897,51,0.53125,18,0.75,61,144,0.4236111111111111,2,0.08333333333333333,11,0.4583333333333333,7,0.2916666666666667,16,0.6666666666666666
breakpoint_51,0.08198039126018766,52,0.5416666666666666,18,0.75,60,144,0.4166666666666667,3,0.125,11,0.4583333333333333,7,0.2916666666666667,15,0.625
interval_51_52,0.09065005044493235,52,0.5416666666666666,18,0.75,60,144,0.4166666666666667,3,0.125,11,0.4583333333333333,7,0.2916666666666667,15,0.625
breakpoint_52,0.09931970962967704,53,0.5520833333333334,18,0.75,61,144,0.4236111111111111,3,0.125,10,0.4166666666666667,8,0.3333333333333333,15,0.625
interval_52_53,0.10329752539604026,53,0.5520833333333334,18,0.75,61,144,0.4236111111111111,3,0.125,10,0.4166666666666667,8,0.3333333333333333,15,0.625
breakpoint_53,0.10727534116240349,54,0.5625,18,0.75,62,144,0.4305555555555556,3,0.125,9,0.375,9,0.375,15,0.625
interval_53_54,0.10969031272256458,54,0.5625,18,0.75,62,144,0.4305555555555556,3,0.125,9,0.375,9,0.375,15,0.625
breakpoint_54,0.11210528428272566,55,0.5729166666666666,18,0.75,63,144,0.4375,3,0.125,8,0.3333333333333333,10,0.4166666666666667,15,0.625
interval_54_55,0.11601676649444406,55,0.5729166666666666,18,0.75,63,144,0.4375,3,0.125,8,0.3333333333333333,10,0.4166666666666667,15,0.625
breakpoint_55,0.11992824870616248,56,0.5833333333333334,18,0.75,62,144,0.4305555555555556,4,0.16666666666666666,8,0.3333333333333333,10,0.4166666666666667,14,0.5833333333333334
